date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:08:20	144/144	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jan%202022%2017:08:30%20GMT	https://github.com/Polyphian/repo/raw/master/assets/img/DepthsB.png	C:/Users/dell%207280/Downloads/bna/bna/github.com/Polyphian/repo/raw/master/assets/img/DepthsB.27.delayed	(from https://broank.bss.design/Laetus.html)
20:08:21	144/144	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jan%202022%2017:08:31%20GMT	https://github.com/Polyphian/repo/raw/master/assets/img/DepthsP.png	C:/Users/dell%207280/Downloads/bna/bna/github.com/Polyphian/repo/raw/master/assets/img/DepthsP.29.delayed	(from https://broank.bss.design/Laetus.html)
20:08:22	257625/257625	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jan%202022%2017:08:30%20GMT	https://raw.githubusercontent.com/Polyphian/repo/master/assets/img/DepthsB.png	C:/Users/dell%207280/Downloads/bna/bna/raw.githubusercontent.com/Polyphian/repo/master/assets/img/DepthsB.png	(from https://broank.bss.design/Laetus.html)
20:08:22	746001/746001	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jan%202022%2017:08:31%20GMT	https://raw.githubusercontent.com/Polyphian/repo/master/assets/img/DepthsP.png	C:/Users/dell%207280/Downloads/bna/bna/raw.githubusercontent.com/Polyphian/repo/master/assets/img/DepthsP.png	(from https://broank.bss.design/Laetus.html)
20:08:22	145/145	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jan%202022%2017:08:32%20GMT	https://github.com/Polyphian/repo/raw/master/assets/img/DepthsPD.png	C:/Users/dell%207280/Downloads/bna/bna/github.com/Polyphian/repo/raw/master/assets/img/DepthsPD.2b.delayed	(from https://broank.bss.design/Laetus.html)
20:08:23	147/147	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jan%202022%2017:08:33%20GMT	https://github.com/Polyphian/repo/raw/master/assets/img/DustryIcon.png	C:/Users/dell%207280/Downloads/bna/bna/github.com/Polyphian/repo/raw/master/assets/img/DustryIcon.2d.delayed	(from https://broank.bss.design/Laetus.html)
20:08:23	24775/24775	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jan%202022%2017:08:33%20GMT	https://raw.githubusercontent.com/Polyphian/repo/master/assets/img/DustryIcon.png	C:/Users/dell%207280/Downloads/bna/bna/raw.githubusercontent.com/Polyphian/repo/master/assets/img/DustryIcon.png	(from https://broank.bss.design/Laetus.html)
20:08:23	679543/679543	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jan%202022%2017:08:32%20GMT	https://raw.githubusercontent.com/Polyphian/repo/master/assets/img/DepthsPD.png	C:/Users/dell%207280/Downloads/bna/bna/raw.githubusercontent.com/Polyphian/repo/master/assets/img/DepthsPD.png	(from https://broank.bss.design/Laetus.html)
20:08:24	151/151	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jan%202022%2017:08:34%20GMT	https://github.com/Polyphian/repo/raw/master/assets/img/DustryGlowIcon.png	C:/Users/dell%207280/Downloads/bna/bna/github.com/Polyphian/repo/raw/master/assets/img/DustryGlowIcon.2f.delayed	(from https://broank.bss.design/Laetus.html)
20:08:24	40099/40099	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jan%202022%2017:08:34%20GMT	https://raw.githubusercontent.com/Polyphian/repo/master/assets/img/DustryGlowIcon.png	C:/Users/dell%207280/Downloads/bna/bna/raw.githubusercontent.com/Polyphian/repo/master/assets/img/DustryGlowIcon.png	(from https://broank.bss.design/Laetus.html)
